selfprog.metta	INERT-FORM:repr	P-only[3]: true ;; "(function1)" ;; "(OK)"	L-only[2]: (repr OK) ;; (repr OK)
smartdispatch.metta	VALUE	P-only[1]: (42 (justdata f 2) 4 42 ((lol 84)))	L-only[1]: (42 (justdata f 2) (f 2) (f 21) ((lol 84)))
spacefunction.metta	INERT-FORM:g	P-only[4]: true ;; true ;; true	L-only[1]: (g 3 4)
spaces2.metta	VALUE	P-only[1]: (space ((foo 1) (foo 2) (foo 42 42) (foo (42 42))) 42)	L-only[1]: (space (msort ((foo 1) (foo 2) (foo (42 42)) (foo 42 42))) 42)
spaces3.metta	INERT-FORM:msort	P-only[2]: ((wu) (wu 42)) ;; ((wu (wu)) (wu (wu 42)))	L-only[2]: (msort ((wu) (wu 42))) ;; (msort ((wu (wu)) (wu (wu 42))))
spaces_find.metta	VALUE	P-only[1]: ((MissedAllPieces))	L-only[1]: ()
spaces_removeallatoms.metta	INERT-FORM:repr	P-only[4]: (true true true true true true true true true true true) ;; "(remove-all-atoms &self)" ;; "(f 42)"	L-only[4]: (true) ;; (repr ()) ;; (repr 42)
spaces_succeedspredicate.metta	INERT-FORM:case	P-only[2]: false ;; (a b)	L-only[1]: (case (translatePredicate (catch (Predicate (&self friend tim tom)) $v1 fail)) (($v2 true) (Empty false)))
specialize.metta	EMPTY-LEATTA	P-only[12]: Not specialized wrapper2_Spec_[partial(+,[1])]/2 ;; (2 3 4) ;; (2 3 4)	L-only[0]: 
specializecyclic.metta	VALUE	P-only[2]: Not specialized f4_Spec_[+]/3 ;; Not specialized f3_Spec_[+]/3	L-only[0]: 
specializefunctiontypes.metta	INERT-FORM:repra	P-only[3]: 42 ;; ok ;; ok	L-only[1]: (repra (g 42))
streamops.metta	VALUE	P-only[4]: (a b c d) ;; (a b b c b c c d) ;; (b c c)	L-only[4]: ((unique a) (unique b) (unique c) (unique d) (unique d)) ;; ((union a b) (union a c) (union a c) (union a d) (union b b) (union b c) (union b c) (union b d) (un
string.metta	EMPTY-PETTA	P-only[0]: 	L-only[1]: "a "
supercollapse.metta	VALUE	P-only[1]: (1 2 3 4 5 6 7 8 9)	L-only[1]: ((superpose (1)) (superpose ((superpose (2)) (superpose ((superpose (3)) (superpose ((superpose (4)) (superpose ((superpose (5)) (superpose ((superpose (6)) (su
test_alpha_unique_atom.metta	INERT-FORM:=alpha	P-only[13]: true ;; true ;; true	L-only[13]: (=alpha (alpha-unique-atom ((link $v1 human) (link $v2 human) (link $v3 human))) ((link $v4 human))) ;; (=alpha (alpha-unique-atom ((parent $v1 human) (parent $
test_backward_v01.metta	INERT-FORM:Inherits,backward-chain,match	P-only[3]: ERROR: [Thread main] <PeTTa>/src/main.pl:23: user:main findall_loop/4: Unknown procedure: 'fact?'/2 ;; ERROR: [Thread main] However, there are d	L-only[6]: true ;; (Inherits Cat Animal (stv 0.9 0.95)) ;; (match &self (Inherits $v1 $v2 $v3))
test_backward_v06.metta	VALUE	P-only[2]: (partial nal-deduce-freq (0.95 0.99 0.8 0.9)) ;; (partial nal-deduce-conf (0.95 0.99 0.8 0.9))	L-only[0]: 
test_match_simple.metta	INERT-FORM:match	P-only[2]: (partial match (&self (Inherits $v1 Animal $v2))) ;; (partial match (&self (Inherits Cat $v1 $v2)))	L-only[2]: (match &self (Inherits $v1 Animal $v2)) ;; (match &self (Inherits Cat $v1 $v2))
test_nal_import.metta	VALUE	P-only[2]: (partial nal-deduce-freq (0.95 0.99 0.8 0.9)) ;; (partial nal-deduce-conf (0.95 0.99 0.8 0.9))	L-only[0]: 
test_nal_v033.metta	INERT-FORM:/	P-only[1]: 0.5	L-only[1]: (/ 0.5 1)
test_nal_v034.metta	INERT-FORM:/	P-only[1]: 0.5	L-only[1]: (/ 0.5 1)
test_unify_eval_branches.metta	INERT-FORM:unify	P-only[6]: true ;; (Error (Constant wff) "already declared") ;; ()	L-only[5]: (unify &self (Constant wff (Type "$v1")) (Error (Constant wff) "already declared") ()) ;; (unify &self (Constant y (Type "$v1")) (Error (Constant y) "already de
tests.metta	VALUE	P-only[1]: (((12 46) 1 (42 43)) ((12 46) 2 (42 43)) ((12 46) 3 (42 43)))	L-only[1]: (((12 46) (superpose ((superpose (1 2 3)))) (42 43)))
translatorrule.metta	INERT-FORM:add-translator-rule!,cons	P-only[3]: true ;; true ;; (42 43)	L-only[3]: (add-translator-rule! compileeval42) ;; (add-translator-rule! compile42) ;; (cons 42 (43))
translatorrule_fib.metta	INERT-FORM:add-translator-rule!	P-only[1]: true	L-only[1]: (add-translator-rule! compilefib)
translatorrule_for.metta	INERT-FORM:add-translator-rule!	P-only[2]: true ;; ((odd 3) (even 4))	L-only[2]: (add-translator-rule! for) ;; ()
types_nondet.metta	VALUE	P-only[0]: 	L-only[1]: Tdefault
xor.metta	EMPTY-LEATTA	P-only[2]: 42 ;; 42	L-only[0]: 

# CRUX buckets: {'INERT-FORM': 35, 'VALUE': 24, 'EMPTY-LEATTA': 11, 'EMPTY-PETTA': 2}
# INERT-FORM head symbols (the missing/wrong-op worklist):
#   msort	4
#   =alpha	3
#   foldall	3
#   repr	3
#   add-translator-rule!	3
#   first-from-pair	2
#   second-from-pair	2
#   forall	2
#   g	2
#   prog1	2
#   progn	2
#   match	2
#   /	2
#   fib	1
#   is-alpha-member	1
#   intersection-atom	1
#   subtraction-atom	1
#   union-atom	1
#   unique-atom	1
#   hyperpose	1
#   NARS.Query	1
#   parse	1
#   case	1
#   repra	1
#   Inherits	1
#   backward-chain	1
#   unify	1
#   cons	1
